
"['5B01[0.50,0.50,0.00]=0.00', '1495[0.00,0.50,0.00]=0.00', '592F[0.50,0.00,0.00]=0.25', 'CD37[0.00,0.00,0.00]=0.00', 'le_us=5310', 'est[0.25,0.39,0.11,56]']"
"['5B01[0.50,0.50,0.00]=0.00', '1495[0.00,0.50,0.00]=0.00', '592F[0.50,0.00,0.00]=0.29', 'CD37[0.00,0.00,0.00]=0.20', 'le_us=5432', 'est[0.25,0.40,0.12,52]']"
"['5B01[0.50,0.50,0.00]=0.00', '1495[0.00,0.50,0.00]=0.00', '592F[0.50,0.00,0.00]=0.29', 'CD37[0.00,0.00,0.00]=0.28', 'le_us=5096', 'est[0.25,0.42,0.05,50]']"
"['1495[0.00,0.50,0.00]=0.00', '5B01[0.50,0.50,0.00]=0.00', 'CD37[0.00,0.00,0.00]=0.20', '592F[0.50,0.00,0.00]=0.21', 'le_us=5096', 'est[0.25,0.42,0.07,54]']"
"['1495[0.00,0.50,0.00]=0.00', '5B01[0.50,0.50,0.00]=0.00', 'CD37[0.00,0.00,0.00]=0.35', '592F[0.50,0.00,0.00]=0.26', 'le_us=5340', 'est[0.25,0.44,0.01,46]']"
"['1495[0.00,0.50,0.00]=0.00', '5B01[0.50,0.50,0.00]=0.00', 'CD37[0.00,0.00,0.00]=0.27', '592F[0.50,0.00,0.00]=0.30', 'le_us=5065', 'est[0.24,0.46,0.03,63]']"
"['1495[0.00,0.50,0.00]=0.00', '5B01[0.50,0.50,0.00]=0.00', 'CD37[0.00,0.00,0.00]=0.26', '592F[0.50,0.00,0.00]=0.30', 'le_us=5065', 'est[0.24,0.46,-0.02,45]']"
"['1495[0.00,0.50,0.00]=0.00', '5B01[0.50,0.50,0.00]=0.00', 'CD37[0.00,0.00,0.00]=0.29', '592F[0.50,0.00,0.00]=0.33', 'le_us=5493', 'est[0.24,0.47,-0.05,52]']"
"['1495[0.00,0.50,0.00]=0.00', '5B01[0.50,0.50,0.00]=0.00', 'CD37[0.00,0.00,0.00]=0.00', '592F[0.50,0.00,0.00]=0.29', 'le_us=6225', 'est[0.25,0.42,-0.09,56]']"
"['1495[0.00,0.50,0.00]=0.00', '5B01[0.50,0.50,0.00]=0.00', 'CD37[0.00,0.00,0.00]=0.22', '592F[0.50,0.00,0.00]=0.20', 'le_us=5096', 'est[0.25,0.42,-0.04,52]']"
