timestamp,odom_x,odom_y,odom_theta,ticks_L,ticks_R,delta_d,cumulative_d
1765545326.302706,2.641372222873801,-0.008715944660391101,-0.20901819587569861,-25385,-24958,0.0,2.641386603180346
1765545326.4025202,2.641372222873801,-0.008715944660391101,-0.20901819587569861,-25385,-24958,0.0,2.641386603180346
1765545326.5026453,2.641372222873801,-0.008715944660391101,-0.20901819587569861,-25385,-24958,0.0,2.641386603180346
1765545326.6024356,2.641372222873801,-0.008715944660391101,-0.20901819587569861,-25385,-24958,0.0,2.641386603180346
1765545326.8025448,2.641372222873801,-0.008715944660391101,-0.20901819587569861,-25385,-24958,0.0,2.641386603180346
1765545326.902783,2.641372222873801,-0.008715944660391101,-0.20901819587569861,-25385,-24958,0.0,2.641386603180346
1765545327.0026457,2.641372222873801,-0.008715944660391101,-0.20901819587569861,-25385,-24958,0.0,2.641386603180346
1765545327.102681,2.641372222873801,-0.008715944660391101,-0.20901819587569861,-25385,-24958,0.0,2.641386603180346
1765545327.2029192,2.641372222873801,-0.008715944660391101,-0.20901819587569861,-25385,-24958,0.0,2.641386603180346
1765545327.3027747,2.641372222873801,-0.008715944660391101,-0.20901819587569861,-25385,-24958,0.0,2.641386603180346
1765545327.4028695,2.641372222873801,-0.008715944660391101,-0.20901819587569861,-25385,-24958,0.0,2.641386603180346
1765545327.5025995,2.641372222873801,-0.008715944660391101,-0.20901819587569861,-25385,-24958,0.0,2.641386603180346
1765545327.6026084,2.641372222873801,-0.008715944660391101,-0.20901819587569861,-25385,-24958,0.0,2.641386603180346
1765545327.7026556,2.641372222873801,-0.008715944660391101,-0.20901819587569861,-25385,-24958,0.0,2.641386603180346
1765545327.9027095,2.641372222873801,-0.008715944660391101,-0.20901819587569861,-25385,-24958,0.0,2.641386603180346
1765545328.0027575,2.641372222873801,-0.008715944660391101,-0.20901819587569861,-25385,-24958,0.0,2.641386603180346
1765545328.1025326,2.641372222873801,-0.008715944660391101,-0.20901819587569861,-25385,-24958,0.0,2.641386603180346
1765545328.2026637,2.641372222873801,-0.008715944660391101,-0.20901819587569861,-25385,-24958,0.0,2.641386603180346
1765545328.3026266,2.641372222873801,-0.008715944660391101,-0.20901819587569861,-25385,-24958,0.0,2.641386603180346
1765545328.4025273,2.641372222873801,-0.008715944660391101,-0.20901819587569861,-25385,-24958,0.0,2.641386603180346
1765545328.5027936,2.641372222873801,-0.008715944660391101,-0.20901819587569861,-25385,-24958,0.0,2.641386603180346
1765545328.6024559,2.641372222873801,-0.008715944660391101,-0.20901819587569861,-25385,-24958,0.0,2.641386603180346
1765545328.702585,2.641372222873801,-0.008715944660391101,-0.20901819587569861,-25385,-24958,0.0,2.641386603180346
1765545328.8025286,2.641372222873801,-0.008715944660391101,-0.20901819587569861,-25385,-24958,0.0,2.641386603180346
1765545329.002524,2.641372222873801,-0.008715944660391101,-0.20901819587569861,-25385,-24958,0.0,2.641386603180346
1765545329.1025786,2.641372222873801,-0.008715944660391101,-0.20901819587569861,-25385,-24958,0.0,2.641386603180346
1765545329.202569,2.641372222873801,-0.008715944660391101,-0.20901819587569861,-25385,-24958,0.0,2.641386603180346
1765545329.3027825,2.641372222873801,-0.008715944660391101,-0.20901819587569861,-25385,-24958,0.0,2.641386603180346
1765545329.402599,2.641372222873801,-0.008715944660391101,-0.20901819587569861,-25385,-24958,0.0,2.641386603180346
1765545329.502744,2.641372222873801,-0.008715944660391101,-0.20901819587569861,-25385,-24958,0.0,2.641386603180346
1765545329.6024983,2.641372222873801,-0.008715944660391101,-0.20901819587569861,-25385,-24958,0.0,2.641386603180346
1765545329.7026775,2.641372222873801,-0.008715944660391101,-0.20901819587569861,-25385,-24958,0.0,2.641386603180346
1765545329.8026419,2.641372222873801,-0.008715944660391101,-0.20901819587569861,-25385,-24958,0.0,2.641386603180346
1765545329.9025939,2.641372222873801,-0.008715944660391101,-0.20901819587569861,-25385,-24958,0.0,2.641386603180346
1765545330.1025584,2.641372222873801,-0.008715944660391101,-0.20901819587569861,-25385,-24958,0.0,2.641386603180346
1765545330.2024417,2.641372222873801,-0.008715944660391101,-0.20901819587569861,-25385,-24958,0.0,2.641386603180346
1765545330.3028798,2.641372222873801,-0.008715944660391101,-0.20901819587569861,-25385,-24958,0.0,2.641386603180346
1765545330.4026957,2.641372222873801,-0.008715944660391101,-0.20901819587569861,-25385,-24958,0.0,2.641386603180346
1765545330.502885,2.641372222873801,-0.008715944660391101,-0.20901819587569861,-25385,-24958,0.0,2.641386603180346
1765545330.602471,2.641372222873801,-0.008715944660391101,-0.20901819587569861,-25385,-24958,0.0,2.641386603180346
1765545330.7027469,2.641372222873801,-0.008715944660391101,-0.20901819587569861,-25385,-24958,0.0,2.641386603180346
1765545330.8025866,2.641372222873801,-0.008715944660391101,-0.20901819587569861,-25385,-24958,0.0,2.641386603180346
1765545330.9026885,2.641372222873801,-0.008715944660391101,-0.20901819587569861,-25385,-24958,0.0,2.641386603180346
1765545331.002695,2.641372222873801,-0.008715944660391101,-0.20901819587569861,-25385,-24958,0.0,2.641386603180346
1765545331.2026649,2.641372222873801,-0.008715944660391101,-0.20901819587569861,-25385,-24958,0.0,2.641386603180346
1765545331.302776,2.641372222873801,-0.008715944660391101,-0.20901819587569861,-25385,-24958,0.0,2.641386603180346
1765545331.4023914,2.641372222873801,-0.008715944660391101,-0.20901819587569861,-25385,-24958,0.0,2.641386603180346
1765545331.5026355,2.641372222873801,-0.008715944660391101,-0.20901819587569861,-25385,-24958,0.0,2.641386603180346
1765545331.6025348,2.641372222873801,-0.008715944660391101,-0.20901819587569861,-25385,-24958,0.0,2.641386603180346
1765545331.7026863,2.641372222873801,-0.008715944660391101,-0.20901819587569861,-25385,-24958,0.0,2.641386603180346
1765545331.802712,2.641372222873801,-0.008715944660391101,-0.20901819587569861,-25385,-24958,0.0,2.641386603180346
1765545331.9029706,2.641372222873801,-0.008715944660391101,-0.20901819587569861,-25385,-24958,0.0,2.641386603180346
1765545332.0029638,2.641372222873801,-0.008715944660391101,-0.20901819587569861,-25385,-24958,0.0,2.641386603180346
1765545332.1024828,2.641372222873801,-0.008715944660391101,-0.20901819587569861,-25385,-24958,0.0,2.641386603180346
1765545332.3025935,2.641372222873801,-0.008715944660391101,-0.20901819587569861,-25385,-24958,0.0,2.641386603180346
1765545332.402677,2.641372222873801,-0.008715944660391101,-0.20901819587569861,-25385,-24958,0.0,2.641386603180346
1765545332.5027046,2.641372222873801,-0.008715944660391101,-0.20901819587569861,-25385,-24958,0.0,2.641386603180346
1765545332.6026134,2.641372222873801,-0.008715944660391101,-0.20901819587569861,-25385,-24958,0.0,2.641386603180346
1765545332.7028131,2.641372222873801,-0.008715944660391101,-0.20901819587569861,-25385,-24958,0.0,2.641386603180346
1765545332.8028078,2.641372222873801,-0.008715944660391101,-0.20901819587569861,-25385,-24958,0.0,2.641386603180346
1765545332.9026475,2.641372222873801,-0.008715944660391101,-0.20901819587569861,-25385,-24958,0.0,2.641386603180346
1765545333.0026863,2.641372222873801,-0.008715944660391101,-0.20901819587569861,-25385,-24958,0.0,2.641386603180346
